pattern_id	join_pattern	n_tables	n_queries	sec_seq	none_seq	additional_at_least_seq	sec_postfilter	none_postfilter	additional_at_least_postfilter	sec_tree_batch_cext	sec_hybrid	switch_to_hybrid	sec_seq_parallel	none_seq_parallel	additional_at_least_seq_parallel	sec_postfilter_parallel	none_postfilter_parallel	additional_at_least_postfilter_parallel	sec_tree_batch_cext_parallel
22	(('p.id', '=', 'v.postid'), ('u.id', '=', 'v.userid'))	3	1	0.055974	0	0.0	0.055533	0	0.0	0.124638	0.161067	TreeBatchCext	0.093037	0	0.0	0.087022	0	0.0	0.126447
23	(('b.userid', '=', 'u.id'), ('u.id', '=', 'v.userid'))	3	46	4.684835	0	0.0	1.24754	0	0.0	0.511275	0.617834	TreeBatchCext	4.348642	0	0.0	0.899416	0	0.0	0.69872
24	(('c.postid', '=', 'p.id'), ('p.id', '=', 'pl.postid'))	3	31	1.357585	0	0.0	0.098464	0	0.0	1.02071	1.159884	TreeBatchCext	1.2430849999999996	0	0.0	0.093795	0	0.0	1.267638
25	(('c.postid', '=', 'p.id'), ('p.id', '=', 'v.postid'))	3	77	12.561027000000003	0	0.0	2.20976	0	0.0	1.985254	2.110263	TreeBatchCext	11.859399999999997	0	0.0	1.584066	0	0.0	2.151897
26	(('p.id', '=', 'pl.postid'), ('p.id', '=', 'v.postid'))	3	23	1.079342	0	0.0	0.130587	0	0.0	0.913096	1.038564	TreeBatchCext	1.1613820000000001	0	0.0	0.127307	0	0.0	1.116171
27	(('c.postid', '=', 'p.id'), ('p.id', '=', 'pl.postid'), ('p.id', '=', 'v.postid'))	4	23	2.461225	0	0.0	0.372552	0	0.0	1.423266	1.65601	TreeBatchCext	2.2488459999999995	0	0.0	0.307988	0	0.0	1.615408
28	(('c.postid', '=', 'p.id'), ('p.id', '=', 'pl.relatedpostid'))	3	40	1.5406350000000006	0	0.0	0.099119	0	0.0	0.963295	1.162564	TreeBatchCext	1.680345	0	0.0	0.105809	0	0.0	1.182603
29	(('p.id', '=', 'pl.relatedpostid'),)	2	24	0.500942	0	0.0	0.04466	0	0.0	0.048079	0.107433	TreeBatchCext	0.755976	0	0.0	0.062351	0	0.0	0.071059
30	(('c.postid', '=', 'p.id'), ('p.owneruserid', '=', 'u.id'))	3	20	1.197631	0	0.0	0.290089	0	0.0	1.620121	1.887891	TreeBatchCext	1.564044	0	0.0	0.226883	0	0.0	2.149204
31	(('p.id', '=', 'pl.relatedpostid'), ('p.owneruserid', '=', 'u.id'))	3	13	0.35242599999999996	0	0.0	0.052755	0	0.0	0.832625	0.925294	TreeBatchCext	0.563622	0	0.0	0.077875	0	0.0	0.96704
32	(('c.postid', '=', 'p.id'), ('p.id', '=', 'pl.relatedpostid'), ('p.owneruserid', '=', 'u.id'))	4	9	0.369409	0	0.0	0.085639	0	0.0	1.139724	1.540249	TreeBatchCext	0.54394	0	0.0	0.101216	0	0.0	1.52699
33	(('c.userid', '=', 'u.id'), ('p.owneruserid', '=', 'u.id'), ('u.id', '=', 'v.userid'))	4	18	203.979308	0	0.0	None	18	3600.0	0.75247	0.842307	TreeBatchCext	244.33635199999998	0	0.0	None	18	3600.0	1.042897
34	(('b.userid', '=', 'u.id'), ('p.id', '=', 'v.postid'), ('p.owneruserid', '=', 'u.id'))	4	30	12.574188000000003	0	0.0	22.11598	0	0.0	2.602221	2.678192	TreeBatchCext	9.783422999999999	0	0.0	16.645932	0	0.0	2.941374
35	(('p.id', '=', 'v.postid'), ('p.owneruserid', '=', 'u.id'))	3	22	1.9624780000000002	0	0.0	0.518485	0	0.0	1.93005	2.344205	TreeBatchCext	2.1345919999999996	0	0.0	0.404148	0	0.0	2.691289
36	(('b.userid', '=', 'u.id'), ('p.owneruserid', '=', 'u.id'), ('u.id', '=', 'v.userid'))	4	20	480.5921159999999	0	0.0	349.706381	0	0.0	0.781045	0.896159	TreeBatchCext	323.49368400000003	0	0.0	260.318142	0	0.0	1.010349
37	(('ph.userid', '=', 'u.id'), ('u.id', '=', 'v.userid'))	3	32	15.155647000000005	0	0.0	12.680335	0	0.0	0.829012	0.740974	TreeBatchCext	10.271753000000002	0	0.0	8.3719	0	0.0	0.924848
38	(('c.userid', '=', 'u.id'), ('ph.userid', '=', 'u.id'), ('u.id', '=', 'v.userid'))	4	20	None	3	2700.0	None	20	3600.0	0.853344	0.831846	TreeBatchCext	None	3	2700.0	None	20	3600.0	1.036616
39	(('b.userid', '=', 'u.id'), ('c.userid', '=', 'u.id'), ('u.id', '=', 'v.userid'))	4	18	965.5075579999998	0	0.0	1193.725322	0	0.0	0.732617	0.814789	TreeBatchCext	565.58677	0	0.0	787.020998	0	0.0	1.025686
40	(('p.id', '=', 'ph.postid'), ('p.id', '=', 'v.postid'))	3	65	16.207401999999995	0	0.0	2.770295	0	0.0	2.669669	2.768955	TreeBatchCext	12.771740999999997	0	0.0	1.972899	0	0.0	3.086513
41	(('c.postid', '=', 'p.id'), ('p.id', '=', 'ph.postid'), ('p.id', '=', 'pl.postid'))	4	29	2.1415369999999996	0	0.0	0.322478	0	0.0	1.885417	2.016838	TreeBatchCext	2.158046	0	0.0	0.280904	0	0.0	2.121745
42	(('c.postid', '=', 'p.id'), ('p.id', '=', 'ph.postid'), ('p.id', '=', 'v.postid'))	4	59	30.718360999999998	0	0.0	9.536843	0	0.0	2.975812	3.190579	TreeBatchCext	18.670313	0	0.0	6.01572	0	0.0	3.308177
43	(('p.id', '=', 'ph.postid'), ('p.id', '=', 'pl.postid'), ('p.id', '=', 'v.postid'))	4	21	2.426367	0	0.0	0.543991	0	0.0	1.740061	1.842144	TreeBatchCext	2.1403130000000004	0	0.0	0.440315	0	0.0	1.862872
44	(('c.postid', '=', 'p.id'), ('p.id', '=', 'ph.postid'), ('p.id', '=', 'pl.postid'), ('p.id', '=', 'v.postid'))	5	21	6.42701	0	0.0	2.348645	0	0.0	1.992703	2.216799	TreeBatchCext	4.923515999999999	0	0.0	1.80757	0	0.0	2.367077
45	(('b.userid', '=', 'u.id'), ('ph.userid', '=', 'u.id'))	3	54	37.41872899999999	0	0.0	23.204802	0	0.0	1.063676	1.161533	TreeBatchCext	26.76776399999999	0	0.0	16.6014	0	0.0	1.212712
46	(('b.userid', '=', 'u.id'), ('c.userid', '=', 'u.id'), ('ph.userid', '=', 'u.id'))	4	26	None	9	8100.0	None	26	3600.0	1.133857	1.281051	TreeBatchCext	None	9	8100.0	None	26	3600.0	1.498115
47	(('b.userid', '=', 'u.id'), ('p.id', '=', 'pl.relatedpostid'), ('p.owneruserid', '=', 'u.id'))	4	24	1.1276259999999998	0	0.0	0.366562	0	0.0	1.13461	1.239262	TreeBatchCext	1.618948	0	0.0	0.508218	0	0.0	1.38896
48	(('p.id', '=', 'ph.postid'), ('p.id', '=', 'v.postid'), ('p.owneruserid', '=', 'u.id'))	4	12	3.6593860000000005	0	0.0	1.284445	0	0.0	3.147069	4.284106	TreeBatchCext	2.024249	0	0.0	0.939459	0	0.0	4.142842
49	(('p.owneruserid', '=', 'u.id'), ('ph.userid', '=', 'u.id'))	3	42	40.80974099999998	0	0.0	76.358513	0	0.0	1.30503	1.424383	TreeBatchCext	42.46697299999998	0	0.0	55.651486	0	0.0	1.455745
50	(('b.userid', '=', 'u.id'), ('p.owneruserid', '=', 'u.id'), ('ph.userid', '=', 'u.id'))	4	30	5958.35119	0	0.0	None	30	3600.0	1.574111	1.772242	TreeBatchCext	4089.868733	0	0.0	None	30	3600.0	1.928863
51	(('b.userid', '=', 'u.id'), ('ph.userid', '=', 'u.id'), ('u.id', '=', 'v.userid'))	4	16	1956.397069	0	0.0	1864.192945	0	0.0	0.995378	0.967273	TreeBatchCext	948.4394120000001	0	0.0	1047.756898	0	0.0	1.243245
52	(('c.userid', '=', 'u.id'), ('p.owneruserid', '=', 'u.id'), ('ph.userid', '=', 'u.id'))	4	16	379.059574	0	0.0	None	16	3600.0	1.432847	1.526027	TreeBatchCext	224.18672100000003	0	0.0	None	16	3600.0	1.595097
53	(('p.owneruserid', '=', 'u.id'), ('ph.userid', '=', 'u.id'), ('u.id', '=', 'v.userid'))	4	10	1276.8459400000002	0	0.0	None	10	3600.0	1.034322	1.169131	TreeBatchCext	1231.245831	0	0.0	None	10	3600.0	1.397448
