pattern_id	join_pattern	n_tables	n_queries	sec_seq	none_seq	additional_at_least_seq	sec_postfilter	none_postfilter	additional_at_least_postfilter	sec_tree_batch_cext	sec_hybrid	switch_to_hybrid	sec_seq_parallel	none_seq_parallel	additional_at_least_seq_parallel	sec_postfilter_parallel	none_postfilter_parallel	additional_at_least_postfilter_parallel	sec_tree_batch_cext_parallel
17	(('b.userid', '=', 'v.userid'), ('u.id', '=', 'v.userid'))	3	2	0.28488800000000003	0	0.0	0.214786	0	0.0	0.184207	0.320234	TreeBatchCext	0.18124400000000002	0	0.0	0.173965	0	0.0	0.281923
18	(('c.postid', '=', 'p.id'), ('c.postid', '=', 'pl.postid'), ('pl.postid', '=', 'v.postid'))	4	1	0.153342	0	0.0	0.135832	0	0.0	0.94659	0.975744	TreeBatchCext	0.118937	0	0.0	0.143805	0	0.0	1.086724
19	(('c.postid', '=', 'p.id'), ('p.id', '=', 'pl.relatedpostid'), ('p.owneruserid', '=', 'u.id'))	4	1	0.083474	0	0.0	0.06306	0	0.0	0.900338	0.882443	TreeBatchCext	0.077823	0	0.0	0.08103	0	0.0	1.093587
20	(('c.userid', '=', 'u.id'), ('p.owneruserid', '=', 'u.id'), ('u.id', '=', 'v.userid'))	4	4	14.214603	0	0.0	2876.827864	0	0.0	0.589366	0.670331	TreeBatchCext	6.432447	0	0.0	2117.766543	0	0.0	0.819512
21	(('b.userid', '=', 'u.id'), ('p.id', '=', 'v.postid'), ('p.owneruserid', '=', 'u.id'))	4	3	2.828928	0	0.0	3.921059	0	0.0	1.933639	2.048048	TreeBatchCext	1.534858	0	0.0	5.274404	0	0.0	2.267494
22	(('b.userid', '=', 'u.id'), ('p.owneruserid', '=', 'u.id'), ('u.id', '=', 'v.userid'))	4	3	75.795909	0	0.0	106.746991	0	0.0	0.651578	0.843734	TreeBatchCext	36.969226	0	0.0	79.156435	0	0.0	0.828031
23	(('c.userid', '=', 'ph.userid'), ('ph.userid', '=', 'v.userid'), ('u.id', '=', 'v.userid'))	4	2	7.931082999999999	0	0.0	None	2	3600.0	0.492029	0.501268	TreeBatchCext	1.470082	0	0.0	None	2	3600.0	0.634526
24	(('b.userid', '=', 'u.id'), ('c.userid', '=', 'u.id'), ('u.id', '=', 'v.userid'))	4	5	248.92954600000002	0	0.0	570.55477	0	0.0	0.613389	0.656644	TreeBatchCext	118.3942	0	0.0	376.371503	0	0.0	0.768657
25	(('c.postid', '=', 'ph.postid'), ('c.postid', '=', 'pl.postid'), ('ph.postid', '=', 'v.postid'))	4	1	0.454189	0	0.0	0.554202	0	0.0	0.934989	1.14821	TreeBatchCext	0.178452	0	0.0	0.414644	0	0.0	1.187211
26	(('b.userid', '=', 'u.id'), ('c.userid', '=', 'u.id'), ('ph.userid', '=', 'u.id'))	4	6	31.513506	0	0.0	None	6	3600.0	0.990293	1.091816	TreeBatchCext	13.710140000000003	0	0.0	None	6	3600.0	1.353205
